CustomerID,FirstName,LastName,Email,Phone,DateOfBirth,Gender,Country,City,PostalCode,Address,SignupDate,CustomerType,TotalSpent,PreferredContactMethod
C1000,Erica,Spears,wwilliams@gmail.com,001-133-570-4718x064,12-04-1977,Male,Philippines,East Sherri,52792,"63599 Kevin Rapids Apt. 202
South Joann, ID 38591",07-07-2023,New,6656.13,Phone
C1001,Shannon,Lane,frankmorrison@williams.biz,001-009-525-2167x9086,19-09-1963,Male,Isle of Man,Jacksonville,92350,"922 Jonathan Summit Apt. 001
Williamsstad, MI 74149",17-08-2024,Returning,5150.54,Email
C1002,John,Hill,akennedy@williams.net,-8309,13-11-1995,Other,Hungary,Susanville,18545,"55870 Vega Branch Suite 670
Gibsonland, MS 94525",29-06-2023,New,3791.52,Phone
C1003,Shane,Bean,perrybetty@yahoo.com,811-188-7513x4852,30-10-1982,Male,Martinique,Rachelfurt,8118,"3927 Gonzalez Glens Suite 872
East Marcia, WY 94962",05-04-2023,New,3837.52,Email
C1004,Tiffany,Reed,timothykelley@gmail.com,+1-432-326-7133x2507,23-10-1992,Male,Tuvalu,Martinezstad,69946,"18832 Hampton Plains
Port Kathleen, AZ 11727",25-12-2023,Returning,3493.53,Phone
C1005,Sean,Stephens,asmith@yahoo.com,-9556,23-07-2006,Female,Guatemala,Oscarshire,800,"48517 Gibson Gateway
Nicholasland, NH 31156",06-01-2024,New,9863.87,Phone
C1006,Corey,Roy,brandy08@hotmail.com,001-473-974-1631x821,26-09-1960,Other,Cuba,West Brandymouth,32185,"6627 Jones River Suite 760
East Christopher, MO 07053",07-03-2024,Returning,4411.89,SMS
C1007,Kelsey,Turner,shawn82@hotmail.com,923-960-9040x0486,02-03-1962,Male,Malta,Lopezstad,77364,"07310 Catherine Overpass Suite 126
Fuentesstad, CA 64907",09-09-2024,New,1002.85,Phone
C1008,Jason,Thornton,danielleburnett@yahoo.com,039.763.4940x5714,17-07-1990,Other,Guadeloupe,East Katelynside,16998,"1068 Miller Inlet Apt. 392
Lake James, KS 13967",12-11-2024,VIP,7459.69,SMS
C1009,Cynthia,Rasmussen,znewman@jordan.com,+1-050-397-9652x930,19-06-1975,Other,Equatorial Guinea,Camachobury,7538,"5065 Campbell Drives Apt. 521
Cunninghammouth, MN 24337",06-04-2024,Returning,3036.68,SMS
C1010,James,Martinez,vincentgreene@gmail.com,735-633-1298x6897,23-11-1995,Other,French Guiana,Weavertown,86397,"8121 Gardner Cove
Lauraland, KY 62399",05-02-2023,VIP,9776.3,SMS
C1011,Shawn,Adams,leeaaron@white.com,676.949.2642,10-08-1967,Male,Norway,East Sabrinaland,61191,"5551 Beck Underpass
North Vanessa, HI 30694",24-03-2023,Returning,4360,Email
C1012,Erin,Larsen,stevensonjohn@yahoo.com,902-833-7841x2127,12-02-1979,Female,Estonia,Port Jeffreyland,5466,"USNV Rivera
FPO AP 42327",23-04-2023,New,8298,Phone
C1013,Donald,Foster,ekerr@west.com,(575)750-5951x6798,04-04-1990,Male,Ethiopia,New Daniel,5660,"6425 Kelly Road
Andrealand, OR 56506",08-09-2024,New,5183.57,Phone
C1014,Christopher,Huynh,sgibson@yahoo.com,(968)715-4606x17433,10-05-1993,Other,United States Virgin Islands,North Corey,75562,"48394 Austin Vista
South Joe, HI 68273",11-08-2023,New,638.58,Email
C1015,Kimberly,Lara,lisa44@yahoo.com,+1-637-261-8937x2352,06-03-1964,Male,Thailand,Lopezport,89926,"1648 Lopez Cape
Thomasbury, OH 85299",26-05-2024,Returning,1368.57,SMS
C1016,Sara,Alexander,igentry@hotmail.com,3397891486,29-10-1976,Female,Guernsey,New Andreaport,30298,"159 Michael Lane
Port Tammy, SD 60248",08-01-2025,New,832.66,SMS
