OrderID,CustomerID,OrderDate,TotalAmount,Status,PaymentMethod,ShippingAddress,BillingAddress,DeliveryDate,OrderChannel,PromoCodeUsed,GiftWrap,SpecialInstructions
O2000,C1387,03-01-2025,1706.35,Cancelled,Debit Card,"2667 Sarah Estate
Knappton, UT 32495","178 Estrada Lock
Meganborough, TX 53692",27-01-2025,In-Store,Yes,Yes,Something up bad give his message everyone yard million activity fly first total cover.
O2001,C1073,18-07-2024,2509.86,In Transit,UPI,"74599 Snyder Ridges
Nicolebury, MA 88615","618 Edwards Spurs
Port Tracytown, AZ 73839",26-01-2025,Website,Yes,Yes,Organization friend product probably happen image opportunity drop few interesting star know with.
O2002,C1354,14-10-2024,1180.09,Delivered,UPI,"04140 Christopher Mill
Smithfurt, OR 12538","267 Robert Circles
New Diane, HI 03020",24-01-2025,Website,Yes,No,Need issue film test hope majority response cut another.
O2003,C1017,09-01-2025,4556.35,Delivered,Net Banking,"3525 Mcdowell Ville Suite 844
Russellburgh, CT 35009","0252 Schultz Mission Apt. 553
South Nicholas, NH 90000",22-01-2025,Website,Yes,Yes,Room wrong professor clear be occur political art most every family high huge cultural.
O2004,C1239,25-07-2024,2953.6,Pending,PayPal,"Unit 9634 Box 0768
DPO AA 74758","636 Mary Way Suite 885
Clementsberg, VA 56475",22-01-2025,Website,Yes,No,Above policy walk about address yes cause relationship.
O2005,C1170,28-12-2024,3739.57,Delivered,UPI,"95554 Cannon Crossroad Suite 185
Travisbury, DC 99704","031 Mills Estate
West Patriciaview, ID 07323",29-01-2025,In-Store,Yes,No,Total product imagine billion right scene feel.
O2006,C1587,18-05-2024,1596.23,Cancelled,Net Banking,"70597 Rios Rest
Ronaldchester, IN 22455","45756 Nicholson Prairie Apt. 224
Woodsberg, AR 23649",18-01-2025,In-Store,Yes,No,Alone us effort color evening arrive.
O2007,C1097,13-10-2024,2164.42,Cancelled,UPI,"514 Petersen Inlet
Lawsonside, MA 41131","85898 Rios Spurs
North Mirandahaven, MT 11187",29-01-2025,Website,Yes,No,Partner debate sister fall page yard ball wait toward on card.
O2008,C1013,24-12-2024,3483.37,Cancelled,Credit Card,"3749 Shelton Plains Suite 379
Sanchezburgh, NH 30858","1233 Yolanda Hill Suite 652
West Anthony, VT 60789",16-01-2025,Website,Yes,No,End knowledge common rule set she hair tree car across.
O2009,C1198,23-10-2024,4249.87,Pending,Credit Card,"77243 Kenneth Forest
Lake Joseph, ME 69755","5041 Savannah Walks Apt. 467
South James, OR 12680",16-01-2025,Mobile App,Yes,No,Discover structure reflect young reach area during toward speak.
