ShippingID,OrderID,ShippingMethod,ShippingCost,ShippingDate,DeliveryDate,DeliveryStatus,Carrier,TrackingNumber,RecipientName,RecipientContact,ShippingNotes
SH6000,O2171,Express,44.88,12-03-2024,07-02-2025,In Transit,DHL,007ea15c-b9a4-4c69-84a2-1f963ba51b14,James Moore,+1-770-269-0201x8152,Court this add model coach east onto message age born.
SH6001,O2134,Express,42.69,05-08-2024,18-01-2025,Delivered,DHL,139a6991-1d50-4cc9-9c23-00e21d528526,Ashley Murray,001-522-554-1122x670,Eight woman billion moment politics choose happy heart happen risk account individual list.
SH6002,O2291,Express,45.11,06-06-2024,29-01-2025,Delivered,UPS,cbba132b-49ba-4052-9216-737501f0f9ee,Sean Castaneda,999-704-8525x95209,Them particularly worker story parent memory discussion white second issue see.
SH6003,O2518,Standard,23.96,20-02-2024,13-02-2025,In Transit,USPS,0b1446e8-7b53-4218-b0db-68871de85300,Meghan Young MD,109.828.3568x32351,Stuff conference task mind child low.
SH6004,O2566,Same-Day,14.26,12-04-2024,13-02-2025,Delivered,DHL,ffaaa584-8cd8-4299-9d35-0314db05b14b,Timothy Macdonald,001-052-661-2909x6041,Remain place attorney seek measure bed various.
SH6005,O2249,Express,34.48,20-01-2024,30-01-2025,Delivered,DHL,5fcffd22-47d9-4c46-885a-1dc5274ca98d,Adam Washington,5582931806,Race scene third talk result performance machine collection station go stock.
SH6006,O2195,Standard,10.52,19-09-2024,25-01-2025,In Transit,USPS,708aaa7e-56d4-4f66-bef6-319aeae61b71,David Drake,458.984.9229x501,Military age up special behind both many toward society lead page or.
SH6007,O2298,Express,38.59,25-01-2024,07-02-2025,Delayed,FedEx,db7284e1-b82b-4e0e-aef0-06cb19dd5c41,Donald Blackwell,001-907-507-2112,Head decision no environment important major.
SH6008,O2192,Standard,42.1,03-08-2024,30-01-2025,Delayed,DHL,d7ec88a7-9882-44f6-af2a-6adfdb64cc8b,Jordan Evans,280-069-0358x4126,Activity catch shake project both read analysis together talk report hope edge.
SH6009,O2515,Express,34.98,19-06-2024,03-02-2025,Delayed,UPS,74376d6f-d02a-41e8-9868-89c5b7ff1ac5,Morgan Davis,001-055-624-8929x709,Respond science necessary mouth I crime great building minute spring good range huge.
SH6010,O2109,Express,28.16,29-06-2024,07-02-2025,Delivered,FedEx,ade80446-7a4e-423e-a531-52605ed1a708,Nicole Griffith,2283048185,Develop traditional system certain concern science require.
SH6011,O2579,Express,13.34,02-10-2024,18-01-2025,In Transit,DHL,56c1dff1-21ea-45fd-82a6-51596d238025,Jaime Johnson,213.349.4454x8567,Film happy society myself above important shoulder culture project figure fly listen.
SH6012,O2409,Express,18.52,28-09-2024,27-01-2025,In Transit,FedEx,1654f9e1-637b-46cd-9094-00807c866553,Julia Freeman,198-922-1874x3220,Well money author trial six a production one industry environment but future.
SH6013,O2399,Express,28.31,30-05-2024,13-02-2025,Delayed,UPS,33127247-feaf-40f6-b66e-9efc94b8e830,Stephanie Smith,312.537.6805x8692,Participant agree last seem picture way ready TV exist.
SH6014,O2228,Express,42.48,06-03-2024,27-01-2025,In Transit,DHL,fcf45cb4-a2e5-4963-ab35-8680b4948d49,Stephen Doyle,(016)936-6540,Follow civil black fire yourself class final for federal.
SH6015,O2537,Same-Day,28.09,21-11-2024,07-02-2025,Delayed,FedEx,f20bb8f8-2a1d-4bff-b398-e3cfddd7897f,Kristopher Strong,882-185-5763,Hold evidence research about sister really law meeting sense stand true similar.
SH6016,O2543,Same-Day,37.23,18-12-2024,21-01-2025,Delivered,UPS,cae7f973-4730-4d89-81ac-fa98f54ed5b3,Caroline Smith,818-214-9274,Per agreement begin small keep often person them energy fly decision.
SH6017,O2088,Standard,27.26,01-04-2024,13-02-2025,Delivered,FedEx,839279d2-c56d-45d9-8b25-841a7b647c2f,Edward Andrews,001-462-543-3705,Clearly these mind magazine area street mind keep weight.
SH6018,O2086,Same-Day,12.18,25-03-2024,10-02-2025,Delayed,DHL,184b3ebf-f388-4682-a575-6bf3ab2779c5,Erik Moore,036.892.4025x90083,Either information prevent more but notice night author participant different scene about spring.
SH6019,O2410,Standard,47,18-08-2024,09-02-2025,In Transit,USPS,78b4c3a2-7421-48e1-8e65-69640923810c,Ashley Jenkins,+1-958-396-0293x9903,System thing if attorney go according help support rule describe.
SH6020,O2201,Same-Day,23.05,02-09-2024,05-02-2025,Delayed,FedEx,4fca9ef4-1b77-43ec-921d-caf62329550e,Joseph Shaw,4753094872,Interview someone writer its on green whom.
SH6021,O2324,Standard,8.97,29-04-2024,04-02-2025,Delivered,DHL,a513554d-5528-4c74-973f-53fec5df9418,Jodi Castro,148.443.2992x5387,Everybody discover sense under near behind loss painting.
SH6022,O2161,Express,43.31,16-03-2024,04-02-2025,Delivered,DHL,c086a7fa-aaaf-47eb-ab74-f1ed45ce1445,Darlene Meyer,001-780-181-9889x88356,Wait garden election couple dog religious of list also turn.
SH6023,O2598,Express,11.41,03-12-2024,10-02-2025,Delayed,DHL,59dcde96-3e24-4380-b146-d9e55c76dc8f,Travis Vasquez,(210)972-5100,Skin education such none again deal amount benefit evening project sort police his.
SH6024,O2197,Standard,46.69,06-03-2024,19-01-2025,Delivered,DHL,e21e79c0-a096-46fc-96be-cc20c1c893e3,Jim Sellers,470.314.1945,Old lawyer employee forward east several.
SH6025,O2325,Same-Day,5.32,05-07-2024,16-01-2025,In Transit,FedEx,2c39f9b5-8ab7-4071-93d4-eff534bafd1c,Nathan Morgan,(934)877-2164,Size policy bad possible exist road arm blue purpose ahead every part challenge.
SH6026,O2471,Same-Day,31.82,05-01-2025,29-01-2025,In Transit,DHL,efded5c4-6d30-4fbb-ad6a-4e32c5e12f80,Mary Wallace,203-197-3960,Space program fill tree career contain summer small parent exactly better.
SH6027,O2041,Express,43.92,27-09-2024,08-02-2025,Delayed,UPS,fae0d1bf-8c8b-4992-b110-1f9f245d95df,Jorge Moss,001-266-617-0467x704,Issue always various safe lot stage doctor.
SH6028,O2501,Standard,16.44,25-11-2024,13-02-2025,Delayed,USPS,e402c398-4a0e-4664-8aa7-984b10c9cb68,Benjamin Dodson,782-219-8099,Stock price commercial road charge drug brother industry world establish.
SH6029,O2287,Same-Day,25.98,11-02-2024,24-01-2025,Delayed,FedEx,bd61e820-b621-4c75-9b3d-589ac82650d5,Christina Jones,001-430-933-7288x9740,Imagine ability spring trip study dinner note feel.
SH6030,O2237,Same-Day,25.52,19-07-2024,07-02-2025,Delayed,UPS,7ca4a390-ee17-44c6-8140-fcc46ec4a9d5,Kelly Newman,(430)919-4011x47584,Eight religious decade structure really fast yard color sell throw.
SH6031,O2582,Same-Day,12.01,06-04-2024,25-01-2025,In Transit,FedEx,6826b460-0fb2-47ec-93b1-463e685a281f,Karen Parsons,218-720-3301x293,Investment consider drop image operation occur hit technology article coach group six drop sit.
SH6032,O2045,Same-Day,26.48,03-05-2024,30-01-2025,Delayed,FedEx,830154b1-368e-4813-bc87-a42bd8bfd973,Joseph Moore,1345137303,Hold sound chair home check series state of hit company leg.
SH6033,O2535,Standard,28.23,13-02-2024,25-01-2025,In Transit,DHL,f9541aa7-d636-40ac-8d63-5f9d8e3efc41,James Meyer,3839965595,Agent remain whom doctor husband military forget wear actually day amount Republican.
SH6034,O2430,Same-Day,46,03-01-2025,18-01-2025,Delayed,FedEx,73899fe3-a919-46c1-8f36-c820e2fa1533,Rebecca Rios,006.034.2490x15957,Coach door approach rock thousand scientist entire east performance project recognize great.
SH6035,O2155,Express,20.69,07-04-2024,24-01-2025,In Transit,DHL,9c0f19ce-a1bf-4a62-b3aa-1546e8309016,Courtney Smith,(462)710-1424,Ten upon price trip increase available late spend Republican certain involve.
SH6036,O2457,Standard,47.31,05-06-2024,17-01-2025,Delayed,DHL,c22c83e9-d84c-421c-ab36-d39cc646585a,Sally Elliott,625.216.8820x137,I product cultural paper news law responsibility.
SH6037,O2549,Standard,26.61,03-10-2024,10-02-2025,Delivered,UPS,4f9fe28f-025f-4a01-8688-88ea79e11d65,Lance Sullivan,302-094-3564,Together and beat own hotel human above.
SH6038,O2279,Same-Day,26.04,20-06-2024,20-01-2025,Delivered,UPS,f42bb30e-cf07-4524-8e94-f79c8504d1bc,Michelle Huber,283-619-0629x356,Firm there break soon election build watch fine blood.
SH6039,O2074,Express,24.21,16-05-2024,30-01-2025,Delayed,UPS,a26fef03-fefb-4da1-81eb-33f7d8a7130d,Lisa Preston,183.844.5425,Avoid idea glass white improve degree spring.
SH6040,O2233,Express,25.99,09-03-2024,18-01-2025,In Transit,FedEx,add4b95b-2302-4139-840a-cecfb3db9990,Melissa Hunt,-5755,Big answer protect ready identify owner court red new forget while cost do.
SH6041,O2543,Same-Day,11.31,06-10-2024,26-01-2025,Delivered,DHL,f8716624-d818-4944-8a9a-ceb73f64caf7,David Perez,430-544-1427x072,Through hit audience stage become light sense instead lawyer middle approach record.
SH6042,O2060,Same-Day,29.04,20-08-2024,31-01-2025,In Transit,UPS,584dfaab-42ee-48ed-87ec-176c3ad2b906,Kristy Murphy,001-357-376-4546,Themselves threat girl free red wrong.
SH6043,O2076,Standard,9.87,28-07-2024,15-01-2025,In Transit,UPS,048a6715-8d76-47a8-92f9-f7b9fdc91668,Gary Williams,001-680-865-2251,Public trade democratic trouble activity song scientist ten.
SH6044,O2201,Express,28.06,04-03-2024,19-01-2025,In Transit,USPS,d9c56a6b-50d3-417e-87fe-53610f742953,Susan Smith,001-503-355-8851x3655,Direction field economy four father sister most baby with.
SH6045,O2265,Standard,26.45,04-12-2024,30-01-2025,Delivered,UPS,b0d4e7df-3f14-4923-9a83-da4b4595fd7a,Richard Parker,681-537-3890x393,Best sort baby feeling cell media discussion mean statement that recent training at southern.
SH6046,O2425,Standard,40.44,11-03-2024,25-01-2025,Delayed,DHL,b03969a2-12b1-456d-a683-815fccdc8875,Mary French,617-399-3548,Nothing plan career physical write develop offer month.
SH6047,O2421,Standard,30.15,27-10-2024,05-02-2025,Delivered,FedEx,659d41dc-c9c5-47f8-be58-c82bfdf6d49b,Christine Patterson,001-772-289-5257,Gun southern western final mission candidate camera wear daughter yes later.
SH6048,O2323,Express,5.99,30-09-2024,19-01-2025,Delivered,USPS,83533cca-45d8-4640-82a1-04adcfb77660,Matthew Blair,639.811.7980x8529,See can fire what subject situation really majority election.
SH6049,O2417,Express,38.59,22-01-2024,19-01-2025,Delayed,FedEx,7b5de37c-56b2-47ce-b9c8-196c57372287,Jerry Carpenter,297.250.0383,Itself study plant cover break hot single statement see camera.
SH6050,O2048,Express,12.56,14-04-2024,25-01-2025,Delayed,FedEx,99a70d1a-f611-45c6-9e19-abd41b89a579,Robert Orr,-5744,Pull else understand tell religious wide nearly our style foot establish life.
SH6051,O2565,Express,27.66,19-03-2024,10-02-2025,Delivered,USPS,19e6e057-a580-403b-b125-5f588b438fce,Brandon Mcneil,001-575-795-8117x070,Account evening stock avoid three his rich budget meet important relate hair quickly.
SH6052,O2504,Standard,23.82,09-03-2024,26-01-2025,Delayed,UPS,7a983879-682a-43ec-b29f-bb206ca95870,Nathaniel Rodriguez,(878)628-2256x3759,Article claim important coach once meeting.
